index,id,date,time,year_compet,id_compet,name_compet,jour_compet,local_id,visitor_id,local_team,visitor_team,teams,resultat,home_goal,away_goal,vainqueur,local_note,visitor_note,delta_note,local_elo,visitor_elo,delta_elo,local_tilt,visitor_tilt,delta_tilt,prob1,probX,prob2,local_goal_predict,visitor_goal_predict,delta_goal_predict
0,5579,2022-02-09,21:45,2022,10,Premier League,Journée 24,1824,860,Norwich City,Crystal Palace,Norwich City - Crystal Palace,1-1,1,1,1,63.0,74.0,-11.0,1538.0,2127.0,-27.7,11.0,-14.0,25.0,43.3,27.1,29.6,1.36,1.07,0.29000000000000004
11,13229,2022-02-09,21:45,2022,25,Championship,Journée 31,548,2092,Bristol City,Reading,Bristol City - Reading,2-1,2,1,0,53.0,59.0,-6.0,1075.0,1361.0,-21.0,-9.0,-19.0,10.0,41.2,30.0,28.8,1.15,0.91,0.23999999999999988
10,13228,2022-02-09,21:45,2022,25,Championship,Journée 31,507,1825,Blackburn Rovers,Nottingham Forest,Blackburn Rovers - Nottingham Forest,0-2,0,2,2,61.0,57.0,4.0,1424.0,1256.0,-11.8,57.0,18.0,39.0,68.0,17.2,14.8,2.52,1.11,1.41
9,13227,2022-02-09,21:45,2022,25,Championship,Journée 31,80,502,AFC Bournemouth,Birmingham City,AFC Bournemouth - Birmingham City,3-1,3,1,0,68.0,58.0,10.0,1784.0,1302.0,-27.0,5.0,18.0,-13.0,54.9,22.7,22.4,1.86,1.11,0.75
8,13221,2022-02-09,21:45,2022,25,Championship,Journée 31,636,5653,Cardiff City,Peterborough United,Cardiff City - Peterborough United,4-0,4,0,0,58.0,47.0,11.0,1275.0,839.0,-34.2,-35.0,-13.0,-22.0,43.6,30.6,25.8,1.15,0.81,0.33999999999999986
2,5585,2022-02-09,21:45,2022,10,Premier League,Journée 24,1633,9179,Man. City,Brentford,Man. City - Brentford,2-0,2,0,0,94.0,53.0,41.0,3471.0,1052.0,-69.7,32.0,32.0,0.0,79.9,10.9,9.2,3.69,1.34,2.3499999999999996
1,5583,2022-02-09,21:45,2022,10,Premier League,Journée 24,2523,2369,Tottenham Hotspur,Southampton,Tottenham Hotspur - Southampton,2-3,2,3,2,89.0,82.0,7.0,3068.0,2601.0,-15.2,-4.0,40.0,-44.0,47.1,22.9,29.9,1.8,1.4,0.40000000000000013
12,13230,2022-02-09,21:45,2022,25,Championship,Journée 31,9184,1337,Preston North End,Huddersfield Town,Preston North End - Huddersfield Town,0-0,0,0,1,58.0,53.0,5.0,1297.0,1082.0,-16.6,7.0,16.0,-9.0,49.7,24.2,26.1,1.67,1.15,0.52
13,13231,2022-02-09,21:45,2022,25,Championship,Journée 31,2044,1689,Queens Park Rangers,Middlesbrough,Queens Park Rangers - Middlesbrough,2-2,2,2,1,57.0,71.0,-14.0,1261.0,1949.0,-35.3,7.0,6.0,1.0,36.3,25.8,37.9,1.33,1.37,-0.040000000000000036
5,341685,2022-02-09,22:00,2022,296,Coppa Italia,1/4 de finale,1692,1526,Milan,Lazio,Milan - Lazio,4-0,4,0,0,85.0,84.0,1.0,2816.0,2735.0,-2.9,-4.0,3.0,-7.0,50.6,25.6,23.8,1.54,0.97,0.5700000000000001
4,379156,2022-02-09,22:00,2022,129,Coupe du Roi,Demi-finales,2080,486,Rayo Vallecano,Real Betis,Rayo Vallecano - Real Betis,1-2,1,2,2,65.0,77.0,-12.0,1669.0,2273.0,-26.6,23.0,61.0,-38.0,28.7,21.5,49.8,1.5,2.02,-0.52
22,3230,2022-02-09,22:00,2022,12,Pro League,Journée 22,5801,9785,OH Leuven,Genk,OH Leuven - Genk,2-1,2,1,0,54.0,70.0,-16.0,1098.0,1880.0,-41.6,20.0,50.0,-30.0,23.2,20.3,56.5,1.37,2.21,-0.8399999999999999
3,5576,2022-02-09,22:00,2022,10,Premier League,Journée 24,297,1533,Aston Villa,Leeds United,Aston Villa - Leeds United,3-3,3,3,1,63.0,58.0,5.0,1546.0,1295.0,-16.2,29.0,6.0,23.0,63.2,20.5,16.3,2.05,0.93,1.1199999999999997
7,371165,2022-02-09,22:15,2022,325,Coupe de France,1/4 de finale,1799,5117,Nice,Olympique Marseille,Nice - Olympique Marseille,4-1,4,1,0,80.0,83.0,-3.0,2452.0,2671.0,-8.2,-16.0,-2.0,-14.0,39.8,28.9,31.3,1.19,1.02,0.16999999999999993
