index,id,date,time,year_compet,id_compet,name_compet,coef_competition,jour_compet,country,local_id,visitor_id,local_team,visitor_team,teams,resultat,home_goal,away_goal,vainqueur,local_note,visitor_note,delta_note,local_elo,visitor_elo,delta_elo,local_tilt,visitor_tilt,delta_tilt,prob1,probX,prob2,local_goal_predict,visitor_goal_predict,delta_goal_predict,local_string_form,visitor_string_form
19,96480,2022-05-06,20:30,2022,89,Serie B,37.500,Journée 38,it,544,2146,Brescia,Reggina,Brescia - Reggina,,,,,58.0,35.0,23.0,1281.0,466.0,-63.6,-13.0,-25.0,12.0,63.3,22.7,14.0,1.76,0.68,1.08,dwddl,llwdl
23,96485,2022-05-06,20:30,2022,89,Serie B,37.500,Journée 38,it,1954,47,Perugia,AC Monza,Perugia - AC Monza,,,,,55.0,33.0,22.0,1144.0,444.0,-61.2,-35.0,24.0,-59.0,40.5,27.8,31.7,1.27,1.09,0.17999999999999994,ddwwl,wwdlw
39,312026,2022-05-06,20:45,2022,346,Premier League Irlande,16.146,Journée 14,ie,918,1047,Derry City,Bohemian FC,Derry City - Bohemian FC,,,,,48.0,46.0,2.0,885.0,820.0,-7.3,29.0,41.0,-12.0,49.8,22.3,27.9,1.9,1.38,0.52,wwwld,lwddw
40,312027,2022-05-06,20:45,2022,346,Premier League Irlande,16.146,Journée 14,ie,940,12690,Drogheda United,St Patrick's,Drogheda United - St Patrick's,,,,,38.0,52.0,-14.0,548.0,1012.0,-45.8,3.0,24.0,-21.0,31.5,24.6,43.8,1.3,1.57,-0.27,dddwd,lddlw
41,312028,2022-05-06,20:45,2022,346,Premier League Irlande,16.146,Journée 14,ie,12682,2353,Shelbourne,Sligo Rovers,Shelbourne - Sligo Rovers,,,,,34.0,48.0,-14.0,462.0,859.0,-46.2,2.0,-1.0,3.0,37.2,27.6,35.1,1.22,1.18,0.040000000000000036,lwlwl,lldlw
42,312029,2022-05-06,20:45,2022,346,Premier League Irlande,16.146,Journée 14,ie,2614,12695,UC Dublin,Dundalk,UC Dublin - Dundalk,,,,,33.0,54.0,-21.0,438.0,1096.0,-60.0,29.0,-24.0,53.0,49.4,25.8,24.8,1.52,0.99,0.53,lldll,lwdwl
0,20992,2022-05-06,21:00,2022,1,Liga Santander,86.118,Journée 35,es,1547,2120,Levante,R. Sociedad,Levante - R. Sociedad,,,,,66.0,82.0,-16.0,1691.0,2578.0,-34.4,2.0,1.0,1.0,29.1,25.4,45.5,1.16,1.52,-0.3600000000000001,wlwld,wwdld
12,21283,2022-05-06,21:00,2022,2,Segunda División,43.125,Journée 39,es,2563,1699,Las Palmas,Mirandés,Las Palmas - Mirandés,,,,,61.0,55.0,6.0,1438.0,1151.0,-20.0,7.0,-4.0,11.0,57.2,23.0,19.8,1.8,0.95,0.8500000000000001,wwddw,dwlll
4,15871,2022-05-06,21:00,2022,16,Ligue 1,65.553,Journée 36,fr,3015,1713,Lille,Monaco,Lille - Monaco,,,,,80.0,88.0,-8.0,2449.0,2993.0,-18.2,-28.0,-5.0,-23.0,27.7,30.5,41.8,0.86,1.13,-0.2699999999999999,dllwl,wwwww
2,49377,2022-05-06,21:00,2022,7,Serie A,74.211,Journée 36,it,4101,1430,Genoa,Juventus,Genoa - Juventus,,,,,74.0,95.0,-21.0,2126.0,3588.0,-40.7,-34.0,-13.0,-21.0,13.1,22.5,64.4,0.64,1.76,-1.12,lllwl,lwdww
43,312030,2022-05-06,21:00,2022,346,Premier League Irlande,16.146,Journée 14,ie,2318,1141,Shamrock Rovers,Finn Harps,Shamrock Rovers - Finn Harps,,,,,52.0,33.0,19.0,1018.0,434.0,-57.4,12.0,37.0,-25.0,53.9,22.1,24.0,1.93,1.22,0.71,dwwww,ldldl
8,35413,2022-05-06,21:15,2022,19,Liga NOS,49.706,Journée 33,pt,513,2730,Boavista,Vitória Guimarães,Boavista - Vitória Guimarães,,,,,63.0,76.0,-13.0,1518.0,2216.0,-31.5,5.0,-28.0,33.0,46.6,27.8,25.6,1.34,0.92,0.42000000000000004,wwllw,wlwdd
54,319184,2022-05-06,21:15,2022,306,Championnat Úrvalsdeild Islande,10.455,Journée 4,is,4677,11356,FH Hafnarfjordur,Valur Reykjavík,FH Hafnarfjordur - Valur Reykjavík,,,,,29.0,20.0,9.0,375.0,262.0,-30.1,34.0,61.0,-27.0,47.3,21.7,31.0,1.98,1.58,0.3999999999999999,,
