id,name,symbol,slug,rank,is_active,first_historical_data,last_historical_data
7694,Governor DAO,GDAO,governor-dao,1560,1,2020-11-17T03:15:00.000Z,2022-01-23T11:55:00.000Z
7697,Experty Wisdom Token,WIS,experty-wisdom-token,6830,1,2020-11-16T08:45:00.000Z,2022-01-23T11:55:00.000Z
7698,CorionX,CORX,corionx,2269,1,2020-11-16T09:00:00.000Z,2022-01-23T11:55:00.000Z
7699,CyberFi Token,CFi,cyberfi,1154,1,2020-11-17T05:20:00.000Z,2022-01-23T11:55:00.000Z
7703,MileVerse,MVC,mileverse,628,1,2020-11-24T15:25:00.000Z,2022-01-23T11:55:00.000Z
7705,ANIVERSE,ANV,aniverse,2969,1,2021-06-15T19:07:06.000Z,2022-01-23T11:57:00.000Z
7714,swiss.finance,SWISS,swiss-finance,8599,1,2020-11-17T21:15:00.000Z,2022-01-23T11:55:00.000Z
7716,Earnbase,ENB,earnbase,2484,1,2020-11-27T08:50:00.000Z,2022-01-23T11:55:00.000Z
7717,TecraCoin (ERC20),TCR,tecracoin,8600,1,2020-11-18T01:55:00.000Z,2022-01-23T11:55:00.000Z
7718,Combo,COMB,combo,6140,1,2020-11-22T02:25:00.000Z,2022-01-23T11:55:00.000Z
7720,DefHold,DEFO,defhold,8601,1,2020-11-19T04:05:00.000Z,2022-01-23T11:55:00.000Z
7721,Chemix Ecology Governance Token,KUN,qian-kun,5241,1,2020-11-18T12:15:00.000Z,2022-01-23T11:55:00.000Z
7723,Itchiro Games,JEM,itchiro-games,4879,1,2020-11-18T16:20:00.000Z,2022-01-23T11:55:00.000Z
7725,TrueFi,TRU,truefi-token,371,1,2020-11-21T13:40:00.000Z,2022-01-23T11:55:00.000Z
7726,ICHI,ICHI,ichi,512,1,2021-01-15T09:50:00.000Z,2022-01-23T11:55:00.000Z
7727,UniWhales,UWL,uniwhales,5731,1,2020-11-24T11:35:00.000Z,2022-01-23T11:55:00.000Z
7732,Brother Music Platform,BMP,brother-music-platform,3064,1,2020-11-22T13:35:00.000Z,2022-01-23T11:55:00.000Z
7734,TOM Finance,TOM,tom-finance,4179,1,2020-12-23T13:50:00.000Z,2022-01-23T11:55:00.000Z
7737,API3,API3,api3,283,1,2020-11-29T14:55:00.000Z,2022-01-23T11:55:00.000Z
7738,TimeCoinProtocol,TMCN,timecoinprotocol,8602,1,2021-06-08T20:24:06.000Z,2022-01-23T11:59:00.000Z
7739,DexKit,KIT,dexkit,1899,1,2020-11-22T11:05:00.000Z,2022-01-23T11:55:00.000Z
7740,Polaris Share,POLA,polaris-share,3918,1,2021-01-27T23:25:00.000Z,2022-01-23T11:55:00.000Z
7742,88mph,MPH,88mph,1058,1,2020-11-21T05:40:00.000Z,2022-01-23T11:55:00.000Z
7743,Ethereum Yield,ETHY,ethereum-yield,2154,1,2020-11-22T03:05:00.000Z,2022-01-23T11:55:00.000Z
7746,Felixo Coin,FLX,felixo-coin,2316,1,2020-11-22T01:10:00.000Z,2022-01-23T11:55:00.000Z
7747,reflect.finance,RFI,reflect-finance,2249,1,2020-11-22T01:10:00.000Z,2022-01-23T11:55:00.000Z
7748,BSC FARM,BSC,bsc-farm,7677,1,2020-11-22T10:55:00.000Z,2022-01-23T11:59:00.000Z
7749,Paypolitan Token,EPAN,paypolitan-token,3068,1,2020-11-22T07:25:00.000Z,2022-01-23T11:55:00.000Z
7750,Eden,EDEN,eden-network,1177,1,2020-11-22T07:45:00.000Z,2022-01-23T11:55:00.000Z
7751,KP2R.Network,KP2R,kp2r-network,5338,1,2020-11-22T18:25:00.000Z,2022-01-23T11:55:00.000Z
7752,LibreFreelencer,LIBREF,librefreelencer,6521,1,2020-11-22T19:20:00.000Z,2022-01-23T11:55:00.000Z
7753,BIOKKOIN,BKKG,biokkoin,5664,1,2020-11-22T19:35:00.000Z,2022-01-23T11:55:00.000Z
7755,Handy,HANDY,handy,1613,1,2020-11-24T12:05:00.000Z,2022-01-23T11:55:00.000Z
7756,oBTC,OBTC,obtc,8603,1,2021-08-14T01:36:05.000Z,2022-01-23T11:56:00.000Z
7760,Komet,KOMET,komet,7436,1,2020-11-23T05:00:00.000Z,2022-01-23T11:55:00.000Z
7761,BuildUp,BUP,buildup,5797,1,2020-11-25T17:25:00.000Z,2022-01-23T11:55:00.000Z
7762,Lyra,LYR,lyra,5474,1,2020-11-24T16:30:00.000Z,2022-01-23T11:55:00.000Z
7763,BlackDragon,BDT,blackdragon,5701,1,2020-11-23T17:55:00.000Z,2022-01-23T11:55:00.000Z
7764,Simbcoin Swap,SMBSWAP,simbcoin-swap,6677,1,2021-01-11T09:20:00.000Z,2022-01-23T11:55:00.000Z
7765,Benchmark Protocol,MARK,benchmark-protocol,1947,1,2020-11-23T19:45:00.000Z,2022-01-23T11:55:00.000Z
7771,HoldToWin,7ADD,holdtowin,8604,1,2020-11-24T03:55:00.000Z,2022-01-23T11:55:00.000Z
7772,Leverj Gluon,L2,leverj-gluon,1445,1,2020-11-24T04:20:00.000Z,2022-01-23T11:55:00.000Z
7776,Vanilla Network,VNLA,vanilla-network,1385,1,2020-11-24T11:25:00.000Z,2022-01-23T11:55:00.000Z
7778,Metis,MTS,metis,4590,1,2020-11-24T16:10:00.000Z,2022-01-23T11:55:00.000Z
7779,XPToken.io,XPT,xptoken-io,8605,1,2020-11-24T16:20:00.000Z,2022-01-23T11:55:00.000Z
7783,Open Governance Token,OPEN,open-governance-token,2197,1,2020-11-25T21:25:00.000Z,2022-01-23T11:55:00.000Z
7784,BLink,BLINK,blink,1458,1,2020-11-25T03:40:00.000Z,2022-01-23T11:59:00.000Z
7785,Bundles Finance,BUND,bundles,4600,1,2020-11-29T17:55:00.000Z,2022-01-23T11:55:00.000Z
7787,JSB FOUNDATION,JSB,jsb-foundation,7815,1,2020-11-25T17:30:00.000Z,2022-01-23T11:55:00.000Z
7788,Yearn Loans Finance,YLFI,yearn-loans-finance,6711,1,2020-11-25T17:25:00.000Z,2022-01-23T11:55:00.000Z
7789,OASISBloc,OSB,oasisbloc,5065,1,2020-11-25T17:30:00.000Z,2022-01-23T11:55:00.000Z
7790,LifetionCoin,LTP,lifetioncoin,6944,1,2020-11-25T17:45:00.000Z,2022-01-23T11:55:00.000Z
7791,Pancake Bunny,BUNNY,pancakebunny,2122,1,2021-01-04T19:05:00.000Z,2022-01-23T11:55:00.000Z
7795,Bird.Money,BIRD,bird-money,1151,1,2020-11-28T15:15:00.000Z,2022-01-23T11:55:00.000Z
7796,COIN,$COIN,coin-defi,4625,1,2020-11-26T09:00:00.000Z,2022-01-23T11:55:00.000Z
7798,Decentral Games [Old],DG,decentral-games-old,323,1,2020-12-02T15:00:00.000Z,2022-01-23T11:55:00.000Z
7803,Ethereum Stake,ETHYS,ethereum-stake,2118,1,2020-12-08T01:40:00.000Z,2022-01-23T11:55:00.000Z
7805,Muse,MUSE,muse,880,1,2020-11-28T09:10:00.000Z,2022-01-23T11:55:00.000Z
7806,Cornichon,CORN,cornichon,1681,1,2020-11-28T09:55:00.000Z,2022-01-23T11:55:00.000Z
7809,Carbon,CRBN,carbon,1451,1,2020-11-30T02:05:00.000Z,2022-01-23T11:55:00.000Z
7811,Bullswap Exchange,BVL,bullswap-exchange,6178,1,2020-11-29T01:40:00.000Z,2022-01-23T11:55:00.000Z
7812,SYNC Network,SYNC,sync-network,1675,1,2020-11-29T02:40:00.000Z,2022-01-23T11:55:00.000Z
7813,Basis Cash,BAC,basis-cash,1665,1,2020-11-29T06:35:00.000Z,2022-01-23T11:55:00.000Z
7814,Alaya,ATP,alaya,3044,1,2020-11-29T06:55:00.000Z,2022-01-23T11:55:00.000Z
7815,DefiCliq,CLIQ,deficliq,3590,1,2020-11-29T07:25:00.000Z,2022-01-23T11:55:00.000Z
7816,Basis Share,BAS,basis-share,3991,1,2020-12-05T12:05:00.000Z,2022-01-23T11:55:00.000Z
7817,Bifrost (BFC),BFC,bifrost,279,1,2020-12-17T20:10:00.000Z,2022-01-23T11:55:00.000Z
7819,Unicap.finance,UCAP,unicap-finance,6165,1,2020-11-29T17:40:00.000Z,2022-01-23T11:55:00.000Z
7821,Royale Finance,ROYA,royale-finance,1676,1,2021-01-07T18:35:00.000Z,2022-01-23T11:55:00.000Z
7824,Vai,VAI,vai,489,1,2020-11-30T02:20:00.000Z,2022-01-23T11:55:00.000Z
