,id,date,league,team1,team2,score1,score2,xg1,xg2,proj_score1,proj_score2,spi1,spi2,importance1,importance2,prob1,probN,prob2
58,8262.0,2021-12-12,Norwegian Tippeligaen,SK Brann,Sarpsborg,,,,,1.56,1.24,25.38,31.07,71.1,0.0,0.2644290475961384,0.34546001980440033,0.39011093259946117
59,8263.0,2021-12-12,French Ligue 1,Strasbourg,Marseille,,,,,1.45,1.25,66.0,66.52,46.5,68.9,0.3452044701632898,0.3875231055537441,0.2672724242829661
60,8264.0,2021-12-12,German Bundesliga,Eintracht Frankfurt,Bayer Leverkusen,,,,,1.33,1.72,68.33,76.71,20.8,69.8,0.30010638186069916,0.264293010097906,0.4356006080413948
61,8265.0,2021-12-12,Barclays Premier League,Crystal Palace,Everton,,,,,1.38,1.13,70.91,70.3,19.6,16.2,0.33803174570228867,0.41302459987374596,0.24894365442396532
62,8266.0,2021-12-12,Italy Serie A,Napoli,Empoli,,,,,2.43,0.78,79.37,53.87,54.0,6.6,0.6752894842099026,0.09249218979743304,0.2322183259926643
63,8267.0,2021-12-12,Italy Serie A,Sassuolo,Lazio,,,,,1.65,1.57,66.22,67.46,6.4,19.4,0.28824014323258096,0.3402012847880575,0.3715585719793615
64,8268.0,2021-12-12,Spanish Segunda Division,AD Alcorcon,FC Cartagena,,,,,1.27,1.35,22.78,29.73,22.9,19.7,0.24682765988888358,0.16616685746540028,0.5870054826457162
65,8269.0,2021-12-12,Spanish Segunda Division,Amorebieta,Las Palmas,,,,,1.21,1.33,25.26,34.99,47.6,24.2,0.1910370257632733,0.3551424207742613,0.4538205534624655
66,8270.0,2021-12-12,Spanish Primera Division,Real Betis,Real Sociedad,,,,,1.33,1.14,74.52,77.97,78.4,78.4,0.4091056844925367,0.30324421068742574,0.2876501048200375
67,8271.0,2021-12-12,Greek Super League,Olympiacos,Aris Salonika,,,,,2.19,0.64,62.15,37.31,59.2,33.8,0.5483440587882633,0.06329889475162262,0.38835704646011415
68,8272.0,2021-12-12,Belgian Jupiler League,KAA Gent,Genk,,,,,1.69,1.09,58.32,54.12,53.1,25.5,0.5470912198480313,0.28470240679057807,0.16820637336139055
69,8273.0,2021-12-12,FA Women's Super League,Aston Villa,Tottenham Women,,,,,0.94,1.26,38.13,50.91,3.3,31.0,0.2726893469726468,0.14138431472723362,0.5859263383001194
70,8274.0,2021-12-12,Portuguese Liga,Famalicao,Benfica,,,,,0.96,2.08,50.3,75.94,23.4,44.6,0.14616493147350976,0.209910911270962,0.6439241572555281
71,8275.0,2021-12-12,FA Women's Super League,Arsenal Women,Leicester City WFC,,,,,3.02,0.25,82.55,36.42,100.0,38.6,,,
72,8276.0,2021-12-12,Dutch Eredivisie,NEC,PSV,,,,,0.97,2.13,44.41,71.9,13.7,62.2,0.22294469293517286,0.1827945893887832,0.5942607176760439
73,8277.0,2021-12-12,Italy Serie B,Reggina,Alessandria,,,,,1.39,0.93,27.18,20.88,18.2,49.3,0.5508703645984888,0.21769495901151437,0.23143467638999682
74,8278.0,2021-12-12,French Ligue 1,Paris Saint-Germain,AS Monaco,,,,,1.93,1.11,82.83,72.4,37.1,60.9,0.4056568675092348,0.3959199998291276,0.19842313266163755
75,8279.0,2021-12-12,Italy Serie A,Internazionale,Cagliari,,,,,2.7,0.6,85.5,53.29,97.8,50.9,0.8449626639662626,0.13749390259526276,0.0175434334384746
76,8280.0,2021-12-12,Spanish Primera Division,Real Madrid,Atletico Madrid,,,,,1.92,1.35,85.05,82.98,100.0,76.2,0.5368343723660883,0.2035917663173784,0.25957386131653326
77,8281.0,2021-12-12,Argentina Primera Division,San Lorenzo,Newell's Old Boys,,,,,1.12,1.09,33.78,37.1,0.0,0.0,0.3849021458410384,0.23434039049369015,0.38075746366527147
78,8282.0,2021-12-12,Belgian Jupiler League,Club Brugge,SV Zulte Waregem,,,,,2.88,1.25,57.49,34.56,51.1,23.0,0.6091777455345688,0.28633834246701173,0.10448391199841948
79,8283.0,2021-12-12,Portuguese Liga,FC Porto,Braga,,,,,2.05,0.87,79.56,64.41,90.0,42.0,0.7963613938897472,0.12799794170880988,0.07564066440144282
80,8284.0,2021-12-12,Argentina Primera Division,Defensa y Justicia,Lanus,,,,,1.79,1.44,50.07,40.58,0.0,0.0,0.413320109330335,0.23432836622433717,0.3523515244453279
81,8285.0,2021-12-12,Argentina Primera Division,Talleres de Córdoba,CA Independiente,,,,,1.22,1.1,42.15,40.5,0.0,0.0,0.37526679442848077,0.2849342475052807,0.3397989580662386
82,8286.0,2021-12-12,Mexican Primera Division Torneo Apertura,Atlas,León,,,,,1.24,1.0,54.32,55.54,100.0,100.0,0.4383280837657104,0.19102636583076338,0.3706455504035262
